seq,task_id,title,category,implementation_status,screen,route,page_entry,depends_on,requirement_ref,priority,detail_file,detail_file_exists,wave_id
24,CMP-SCR004-REPORT,신고 트리거,COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS;INFRA-AUTH,REQ-FUNC-039;REQ-NF-019,P1,TASK-CMP-SCR004-REPORT.md,true,W08
25,CMP-SCR004-BLOCK,차단 트리거,COMPONENT,IMPLEMENT,SCR-004,—,—,DB-ACCESS;INFRA-AUTH,REQ-FUNC-040,P1,TASK-CMP-SCR004-BLOCK.md,true,W08
26,CMP-SCR005-AUTH,로그인·가입·재설정(Guest),COMPONENT,IMPLEMENT,SCR-005,—,—,INFRA-AUTH,REQ-FUNC-027;REQ-FUNC-066,P0,TASK-CMP-SCR005-AUTH.md,true,W09
27,CMP-SCR005-PROFILE,프로필·성인 확인 요약(Member),COMPONENT,IMPLEMENT,SCR-005,—,—,DB-ACCESS;INFRA-AUTH,REQ-FUNC-028;REQ-FUNC-029,P1,TASK-CMP-SCR005-PROFILE.md,true,W09
28,CMP-SCR005-MY-ACTIVITY,내 글·참가 요청·차단 목록(Member),COMPONENT,IMPLEMENT(간소화),SCR-005,—,—,DB-ACCESS;INFRA-AUTH;SHR-EMPTY-STATE;SHR-TOAST-NOTIFY,REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-038;REQ-FUNC-039;REQ-FUNC-040;REQ-FUNC-043,P0,TASK-CMP-SCR005-MY-ACTIVITY.md,true,W09
29,CMP-SCR005-ADMIN,신고 상태 변경·외부 URL 설정(Admin),COMPONENT,IMPLEMENT(간소화),SCR-005,—,—,DB-ACCESS;INFRA-AUTH;INFRA-OUTBOUND-LINKS,REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-077,P0,TASK-CMP-SCR005-ADMIN.md,true,W09
30,SHR-HEADER-FOOTER,전역 Header/Footer,SHARED,IMPLEMENT,전역(5개 Screen 공통),—,—,,REQ-FUNC-064,P0,TASK-SHR-HEADER-FOOTER.md,true,W03
31,SHR-RESPONSIVE-LAYOUT,반응형 레이아웃 토큰(Tailwind),SHARED,IMPLEMENT,전역,—,—,,REQ-FUNC-065,P0,TASK-SHR-RESPONSIVE-LAYOUT.md,true,W03
32,SHR-DRAWER-MODAL,Drawer/Modal 원시 컴포넌트,SHARED,IMPLEMENT,"전역(SCR-001,004 사용)",—,—,,REQ-FUNC-004;REQ-FUNC-047;REQ-FUNC-033,P1,TASK-SHR-DRAWER-MODAL.md,true,W02
33,SHR-EMPTY-STATE,완성형 Empty State 원시 컴포넌트,SHARED,IMPLEMENT,"전역(SCR-001,004,005 사용)",—,—,,REQ-FUNC-005,P1,TASK-SHR-EMPTY-STATE.md,true,W02
34,SHR-TOAST-NOTIFY,Toast 인앱 알림,SHARED,IMPLEMENT,"전역(SCR-003,004,005 사용)",—,—,,REQ-FUNC-043,P1,TASK-SHR-TOAST-NOTIFY.md,true,W03
35,SHR-ERROR-NOTFOUND,404/오류 복구 화면,SHARED,IMPLEMENT,전역,—,src/app/not-found.tsx,,REQ-FUNC-078,P1,TASK-SHR-ERROR-NOTFOUND.md,true,W02
36,SHR-A11Y-FOCUS,접근성 포커스·ARIA 유틸리티,SHARED,IMPLEMENT,전역,—,—,,REQ-FUNC-079;REQ-NF-023,P1,TASK-SHR-A11Y-FOCUS.md,true,W02
37,SHR-SEO-METADATA,페이지별 SEO 메타데이터 유틸리티,SHARED,IMPLEMENT,전역,—,—,,REQ-FUNC-070;REQ-NF-030,P2,TASK-SHR-SEO-METADATA.md,true,W03
38,SHR-IMAGE-OPTIMIZATION,이미지 최적화 컴포넌트,SHARED,IMPLEMENT,전역,—,—,,REQ-NF-006,P2,TASK-SHR-IMAGE-OPTIMIZATION.md,true,W03
39,SHR-FAVORITES-STORAGE,즐겨찾기 localStorage 유틸리티,SHARED,IMPLEMENT,전역(SCR-001 사용),—,—,,REQ-FUNC-068,P2,TASK-SHR-FAVORITES-STORAGE.md,true,W03
40,SHR-SHARE-LINK,URL 공유 유틸리티,SHARED,IMPLEMENT,"전역(SCR-001,004 사용)",—,—,,REQ-FUNC-069,P2,TASK-SHR-SHARE-LINK.md,true,W03
41,DATA-DESTINATIONS,"여행지 정적 데이터(국내 10+, 해외 15개국 30도시+)",DATA,IMPLEMENT,—,—,—,,REQ-FUNC-001;REQ-FUNC-004;REQ-FUNC-007;REQ-FUNC-008;REQ-FUNC-009;REQ-NF-026,P0,TASK-DATA-DESTINATIONS.md,true,W02
42,DATA-SAFETY,국가 안전정보 정적 데이터(해외 15개국 전체),DATA,IMPLEMENT,—,—,—,,REQ-FUNC-046;REQ-FUNC-048;REQ-NF-027;REQ-NF-028,P0,TASK-DATA-SAFETY.md,true,W02
43,DATA-REPRESENTATIVE,대표 프로필 정적 데이터,DATA,IMPLEMENT,—,—,—,,REQ-FUNC-057;REQ-FUNC-058;REQ-FUNC-059;REQ-FUNC-060;REQ-FUNC-061;REQ-FUNC-062;REQ-FUNC-063,P0,TASK-DATA-REPRESENTATIVE.md,true,W02
44,DB-SCHEMA-BASE,Supabase 테이블 스키마(6개 제한),DB,IMPLEMENT,—,—,—,,REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-030;REQ-FUNC-031;REQ-FUNC-034;REQ-FUNC-037;REQ-FUNC-038;REQ-FUNC-039;REQ-FUNC-040;REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-077,P0,TASK-DB-SCHEMA-BASE.md,true,W04
45,DB-RLS-BASE,Row Level Security 정책,DB,IMPLEMENT,—,—,—,DB-SCHEMA-BASE,REQ-FUNC-044;REQ-NF-013,P0,TASK-DB-RLS-BASE.md,true,W04
46,DB-ACCESS,데이터 접근 계층(서버 액션/쿼리),DB,IMPLEMENT,—,—,—,DB-SCHEMA-BASE;DB-RLS-BASE;INFRA-AUTH,REQ-FUNC-030;REQ-FUNC-033;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-038;REQ-FUNC-039;REQ-FUNC-040;REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-043;REQ-FUNC-077;REQ-NF-005;REQ-NF-019,P0,TASK-DB-ACCESS.md,true,W04
47,DB-SEED-BASE,로컬 개발용 Seed 데이터,DB,IMPLEMENT,—,—,—,DB-SCHEMA-BASE,,P2,TASK-DB-SEED-BASE.md,true,W04
48,INFRA-AUTH,Supabase Auth·성인 확인,INFRA,IMPLEMENT,—,/auth/callback`(기술 Route),—,DB-SCHEMA-BASE,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-066,P0,TASK-INFRA-AUTH.md,true,W04
49,INFRA-ENV-SECRETS,환경변수·비밀키 관리,INFRA,IMPLEMENT,—,—,—,,REQ-NF-016,P0,TASK-INFRA-ENV-SECRETS.md,true,W01
50,INFRA-SECURITY-BASELINE,CSRF·입력 검증 기본기,INFRA,IMPLEMENT,—,—,—,,REQ-NF-014;REQ-NF-015,P1,TASK-INFRA-SECURITY-BASELINE.md,true,W01
51,INFRA-OUTBOUND-LINKS,외부 링크 안전 이동 유틸리티,INFRA,IMPLEMENT,—,/api/*`(기술 Route 일부),—,,REQ-FUNC-016;REQ-FUNC-018;REQ-FUNC-024;REQ-FUNC-026;REQ-FUNC-077,P0,TASK-INFRA-OUTBOUND-LINKS.md,true,W01
52,UNIT-TRAVEL-DATES,날짜 검증 단위 테스트,UNIT_TEST,IMPLEMENT,SCR-003,—,—,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM,REQ-FUNC-013;REQ-FUNC-021,P0,TASK-UNIT-TRAVEL-DATES.md,true,W11
53,UNIT-CONTACT-DETECTION,연락처 패턴 탐지 단위 테스트,UNIT_TEST,IMPLEMENT,SCR-003,—,—,CMP-SCR003-MATE-WRITE,REQ-FUNC-032,P0,TASK-UNIT-CONTACT-DETECTION.md,true,W10
54,UNIT-MATE-STATE,동행글/요청 상태 전이 단위 테스트,UNIT_TEST,IMPLEMENT,"SCR-004, SCR-005",—,—,DB-ACCESS,REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-041;REQ-FUNC-042,P0,TASK-UNIT-MATE-STATE.md,true,W11
55,TEST-RLS-BASIC,RLS 기본 정책 통합 테스트,INTEGRATION_TEST,IMPLEMENT,—,—,—,DB-RLS-BASE,REQ-FUNC-044;REQ-NF-013,P0,TASK-TEST-RLS-BASIC.md,true,W10
56,E2E-PUBLIC-SMOKE,"공개 탐색 Smoke(홈+대표소개, 2개 흐름)",E2E_TEST,IMPLEMENT,"SCR-001, SCR-002","/`, `/about","src/app/page.tsx`, `src/app/about/page.tsx",PAGE-SCR001;PAGE-SCR002,REQ-FUNC-001;REQ-FUNC-006;REQ-FUNC-047;REQ-FUNC-057;REQ-NF-024,P0,TASK-E2E-PUBLIC-SMOKE.md,true,W10
57,E2E-TRAVEL-TOOLS,"여행 준비 Smoke(항공/숙소/동행, 3개 흐름)",E2E_TEST,IMPLEMENT,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,PAGE-SCR003,REQ-FUNC-011;REQ-FUNC-019;REQ-FUNC-027;REQ-FUNC-031;REQ-FUNC-032;REQ-NF-017,P0,TASK-E2E-TRAVEL-TOOLS.md,true,W10
58,E2E-MATE-AUTH,"동행 인증 흐름 Smoke(로그인/참가/계정, 2개 흐름)",E2E_TEST,IMPLEMENT,"SCR-004, SCR-005","/mates`, `/account","src/app/mates/page.tsx`, `src/app/account/page.tsx",PAGE-SCR004;PAGE-SCR005,REQ-FUNC-027;REQ-FUNC-034;REQ-FUNC-036;REQ-FUNC-066,P0,TASK-E2E-MATE-AUTH.md,true,W10
59,MANUAL-A11Y-KEYBOARD,키보드·스크린리더 수동 점검,MANUAL_CHECK,IMPLEMENT,SCR-001~005,전체,전체,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,REQ-NF-025,P1,TASK-MANUAL-A11Y-KEYBOARD.md,true,W10
60,RELEASE-CHECK-LIGHTHOUSE,배포 전 Lighthouse 수동 확인,RELEASE_CHECK,IMPLEMENT,SCR-001~005,전체,전체,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005,REQ-NF-001;REQ-NF-002;REQ-NF-003,P1,TASK-RELEASE-CHECK-LIGHTHOUSE.md,true,W12
61,RELEASE-CHECK-EXTERNAL-LINKS,외부 링크 브라우저 확인,RELEASE_CHECK,IMPLEMENT,"SCR-001, SCR-003",전체,전체,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR001-SAFETY-PANEL,REQ-FUNC-016;REQ-FUNC-024;REQ-FUNC-049,P1,TASK-RELEASE-CHECK-EXTERNAL-LINKS.md,true,W12
62,CI-LINT-TYPECHECK-TEST,CI: Lint·타입체크·테스트 게이트,CI_DEPLOY,IMPLEMENT,—,—,—,,REQ-NF-031,P0,TASK-CI-LINT-TYPECHECK-TEST.md,true,W10
63,DEPLOY-VERCEL-SETUP,Vercel 배포 설정 확인,CI_DEPLOY,IMPLEMENT,—,—,—,CI-LINT-TYPECHECK-TEST,REQ-NF-012;REQ-NF-034,P1,TASK-DEPLOY-VERCEL-SETUP.md,true,W12
64,SUPABASE-ENV-VERIFY,Supabase 프로젝트/환경 확인,CI_DEPLOY,IMPLEMENT,—,—,—,DB-SCHEMA-BASE;INFRA-ENV-SECRETS,,P1,TASK-SUPABASE-ENV-VERIFY.md,true,W12
